Date,Open,High,Low,Close,Adj Close,Volume
2020-06-03,2.070000,2.190000,2.070000,2.145000,2.145000,9300
2020-06-04,2.100000,2.200000,2.080000,2.100000,2.100000,31700
2020-06-05,2.100000,2.150000,2.080000,2.090000,2.090000,23700
2020-06-08,2.040000,2.180000,2.000000,2.080000,2.080000,23000
2020-06-09,2.020000,2.150000,1.960000,1.960000,1.960000,40000
2020-06-10,2.100000,2.110000,1.960000,2.070000,2.070000,61100
2020-06-11,2.070000,2.070000,1.940000,1.940000,1.940000,6400
2020-06-12,2.050000,2.110000,1.980000,2.100000,2.100000,3700
2020-06-15,2.170000,2.170000,1.970000,2.060000,2.060000,31300
2020-06-16,2.010000,2.040000,1.930000,1.930000,1.930000,9300
2020-06-17,1.937000,2.000000,1.900000,1.970000,1.970000,11300
2020-06-18,2.050000,2.050000,1.932000,1.980000,1.980000,3100
2020-06-19,2.050000,2.070000,1.910000,1.910000,1.910000,3700
2020-06-22,2.027000,2.027000,1.900000,1.961000,1.961000,23100
2020-06-23,1.880000,2.000000,1.880000,1.930000,1.930000,33500
2020-06-24,1.900000,2.000000,1.870000,1.990000,1.990000,36400
2020-06-25,1.911000,2.000000,1.910000,2.000000,2.000000,20300
2020-06-26,1.920000,1.950000,1.710000,1.860000,1.860000,21800
2020-06-29,1.900000,1.900000,1.900000,1.900000,1.900000,300
2020-06-30,1.810000,1.920000,1.710000,1.880000,1.880000,7000
2020-07-01,1.890000,1.900000,1.720000,1.850000,1.850000,8300
2020-07-02,1.830000,1.840000,1.710000,1.800000,1.800000,1100
2020-07-06,1.870000,1.870000,1.740000,1.850000,1.850000,1700
2020-07-07,1.793000,1.850000,1.775000,1.850000,1.850000,600
2020-07-08,1.700000,1.850000,1.700000,1.850000,1.850000,2400
2020-07-09,1.790000,1.850000,1.730000,1.850000,1.850000,6800
2020-07-10,1.830000,1.830000,1.830000,1.830000,1.830000,200
2020-07-13,1.760000,1.850000,1.709000,1.820000,1.820000,3900
2020-07-14,1.820000,1.830000,1.780000,1.800000,1.800000,5300
2020-07-15,1.730000,1.797000,1.720000,1.797000,1.797000,800
2020-07-16,1.800000,1.800000,1.720000,1.800000,1.800000,1300
2020-07-17,1.700000,1.790000,1.600000,1.600000,1.600000,11500
2020-07-20,1.590000,1.590000,1.480000,1.480000,1.480000,8900
2020-07-21,1.480000,1.500000,1.480000,1.500000,1.500000,1700
2020-07-22,1.640000,1.643000,1.610000,1.610000,1.610000,5000
2020-07-23,1.490000,1.600000,1.420000,1.589000,1.589000,28700
2020-07-24,1.590000,1.620000,1.410000,1.530000,1.530000,9600
2020-07-27,1.410000,1.580000,1.410000,1.510000,1.510000,3400
2020-07-28,1.410000,1.720000,1.410000,1.673000,1.673000,70900
2020-07-29,1.720000,1.830000,1.675000,1.795000,1.795000,24500
2020-07-30,1.790000,1.790000,1.680000,1.720000,1.720000,5300
2020-07-31,1.690000,1.810000,1.690000,1.800000,1.800000,4000
2020-08-03,1.800000,1.840000,1.690000,1.690000,1.690000,5800
